OBJECTID,ID,ישוב,שימוש עיקרי,אוכלוסיה ב-2018,שטח מטר רבוע,סוג אזור,USETYPECOD,הרוגים,פצועים קשה,פצועים קל,הולכי רגל שנפגעו,נפגעים בגילאי 0-19,נפגעים בגילאי 20-64,נפגעים בגילאי 65 ומעלה,סהכ נפגעים,סהכ נהגים מעורבים,אופנועים,משאיות מעל 3.5 טון,אופניים,רכבים פרטיים,סהכ כלי רכב מעורבים,Shape_Length,Shape_Area,סהכ תאונות,תאונות לקילומטר רבוע,CITYCODE
799,489,נס ציונה,מגורים+ פנאי ונופש,762,560812,מגורים,1,0,0,2,0,0,2,0,2,3,0,1,0,2,3,3504.144559,560812.2336,1,1.783128006,7200
800,1924,אכסאל,מגורים,5558,447761,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3585.578209,447760.5821,0,0,478
801,107,תל אביב - יפו,מגורים,4517,367962,מגורים,1,0,6,36,11,8,25,8,42,58,8,0,5,33,58,2473.294343,367962.413,33,89.68307315,5000
802,1542,רח' אל-מדינה אל-מנוורה,לא ידוע,0,1740612,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5474.32118,1740612.049,0,0,
803,2503,אשקלון,מגורים,6032,534345,מגורים,1,0,3,59,18,16,32,13,62,56,0,0,2,40,56,3031.140284,534345.1279,35,65.50073759,7100
804,749,מודיעין-מכבים-רעות*,שטח פתוח,0,6708852,פנאי/טבע/ספורט,3,7,4,48,0,18,38,3,59,31,2,2,0,25,31,14340.72166,6708852.5,13,1.937738235,1200
805,2105,סח'נין,מגורים,4490,1994140,מגורים,1,0,5,65,12,36,34,0,70,45,0,0,0,37,45,9957.407259,1994139.92,28,14.0411411,7500
806,1391,בית שמש,מגורים,3985,202082,מגורים,1,0,1,10,5,2,9,0,11,12,0,0,0,9,12,2808.991864,202081.979,8,39.58789418,2610
807,342,חולון,מגורים,12846,477563,מגורים,1,0,1,47,6,8,35,5,48,64,4,1,1,50,64,3219.520252,477562.9485,34,71.19480292,6600
808,2017,אבו סנאן,מגורים,5148,3361455,מגורים,1,0,4,19,1,1,19,3,23,24,2,1,0,17,24,11098.99751,3361454.635,12,3.569883073,473
809,968,פתח תקווה,מגורים,10187,406861,מגורים,1,0,8,63,24,13,42,14,71,91,16,1,1,55,91,2980.749962,406861.4474,54,132.7233149,7900
810,1635,אבו סנינא,לא ידוע,0,319458,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450.168318,319457.5769,0,0,
811,2340,חיפה,נמל,0,739262,תעשיה/מסחר/מתקנים,4,0,0,6,0,0,6,0,6,5,0,1,0,2,5,4054.04601,739261.7132,3,4.058102762,4000
812,586,רחובות,מגורים,7884,679158,מגורים,1,0,1,22,7,8,12,3,23,26,0,0,3,22,26,4133.529861,679158.4406,16,23.55856755,8400
813,1228,ירושלים,מגורים,1397,412094,מגורים,1,0,0,2,0,0,2,0,2,2,1,0,0,1,2,2796.872657,412093.9116,1,2.426631338,3000
814,2584,כפר סילבר גיאה הודייה תלמי יפה ברכיה בית שקמה משען בת הדר,מגורים+מוסדי,6576,43626734,מגורים,1,2,7,157,0,25,129,8,166,144,2,8,0,107,144,30038.27776,43626734.29,66,1.512833841,
815,179,רמת השרון,מגורים,5148,906019,מגורים,1,0,3,29,4,5,22,5,32,42,7,0,0,31,42,4453.0127,906019.3171,21,23.17831376,2650
816,1870,בת שלמה מאיר שפיה,מגורים+מוסדי,937,22863902,מגורים,1,1,5,53,0,11,45,3,59,53,3,1,0,43,53,33409.39331,22863901.69,26,1.137163742,
817,821,גני יוחנן,מגורים,629,1593563,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7582.652091,1593563.315,0,0,
818,2177,טבריה,מגורים,3930,2461587,מגורים,1,0,1,17,8,5,13,0,18,23,1,0,0,17,23,9712.254838,2461587.48,15,6.093628652,6700
819,1463,צור הדסה,מגורים,1555,1082783,מגורים,1,0,1,2,0,1,2,0,3,3,2,0,0,1,3,6858.631394,1082783.376,2,1.847091527,
820,414,פתח תקווה,תעשיה,0,833925,תעשיה/מסחר/מתקנים,4,1,0,37,2,4,32,2,38,48,6,1,0,37,48,4527.496629,833924.6667,24,28.77957801,7900
821,1065,ירושלים,מגורים+ שטח פתוח,514,528981,מגורים,1,0,0,4,0,2,2,0,4,2,0,0,0,2,2,3181.896379,528980.641,1,1.890428349,3000
822,16,תל אביב - יפו,מגורים,4563,286887,מגורים,1,0,7,22,14,2,11,14,29,37,2,0,0,32,37,2409.179415,286886.8615,22,76.68528243,5000
823,1707,חיפה,מגורים,2654,309198,מגורים,1,0,0,2,0,0,0,2,2,2,0,0,0,2,2,2805.252038,309197.9033,1,3.234174583,4000
824,658,נתניה,מגורים,3965,393352,מגורים,1,1,5,65,21,14,42,14,71,67,5,1,1,47,67,3171.234852,393351.9251,42,106.7746141,7400
